Time	FPS	Frame	Crash	RB	RU	LU	LB	OC	Dither	DAngle	swAngle	OX	OY	OZ	HX	HY	HZ	DX	DY	DZ	HA	AccumulativeHeading(Y)	Speed	RSpeed	Dynamic
1.60173	38.262	36	0	-1	3	3	-1	1	2.8125	5.89527e-005	0.	-2.8125	-0.814815	0.	0.	1.	0.	0.	1.	0.	0.	0.	-16.	15.7471	0	
1.62658	40.2374	37	0	-1	3	3	-1	1	2.8125	5.89527e-005	0.	-2.8125	-0.888889	0.	0.	1.	0.	0.	1.	0.	0.	0.	-16.	15.7389	0	
1.65193	39.4522	38	0	-1	3	3	-1	1	2.8125	5.89527e-005	0.	-2.8125	-0.962963	0.	0.	1.	0.	0.	1.	0.	0.	0.	-16.	15.7555	0	
1.67702	39.8519	39	0	-1	3	3	-1	1	2.8125	5.89527e-005	0.	-2.8125	-1.03704	0.	0.	1.	0.	0.	1.	0.	0.	0.	-16.	15.7545	0	
1.70303	38.4526	40	0	-1	3	3	-1	1	2.8125	5.89527e-005	0.	-2.8125	-1.11111	0.	0.	1.	0.	0.	1.	0.	0.	0.	-16.	15.7606	0	
1.73046	36.4507	41	0	-1	3	3	-1	1	2.8125	5.89527e-005	0.	-2.8125	-1.18519	0.	0.	1.	0.	0.	1.	0.	0.	0.	-16.	15.7557	0	
1.75506	40.6525	42	0	-1	3	3	-1	1	2.8125	5.89527e-005	0.	-2.8125	-1.25926	0.	0.	1.	0.	0.	1.	0.	0.	0.	-16.	15.7463	0	
1.78147	37.864	43	0	-1	3	3	-1	1	2.8125	5.89527e-005	0.	-2.8125	-1.33333	0.	0.	1.	0.	0.	1.	0.	0.	0.	-16.	15.7757	0	
1.80878	36.6243	44	0	-1	3	3	-1	1	2.8125	5.89527e-005	0.	-2.8125	-1.40741	0.	0.	1.	0.	0.	1.	0.	0.	0.	-16.	15.7628	0	
1.83369	40.1461	45	0	-1	2	2	-1	1	2.8125	5.89527e-005	0.	-2.8125	-1.48148	0.	0.	1.	0.	0.	1.	0.	0.	0.	-16.	15.7585	0	
1.86003	37.9542	46	0	-1	2	2	-1	1	2.8125	5.89527e-005	0.	-2.8125	-1.55556	0.	0.	1.	0.	0.	1.	0.	0.	0.	-16.	15.7827	0	
1.88717	36.852	47	0	-1	2	2	-1	1	2.8125	5.89527e-005	0.	-2.8125	-1.62963	0.	0.	1.	0.	0.	1.	0.	0.	0.	-16.	15.7734	0	
1.91181	40.5908	48	0	-1	2	2	-1	1	2.8125	5.89527e-005	0.	-2.8125	-1.7037	0.	0.	1.	0.	0.	1.	0.	0.	0.	-16.	15.7699	0	
1.93658	40.3647	49	0	-1	2	2	-1	1	2.8125	5.89527e-005	0.	-2.8125	-1.77778	0.	0.	1.	0.	0.	1.	0.	0.	0.	-16.	15.7938	0	
1.96336	37.3415	50	0	-1	2	2	-1	1	2.8125	5.89527e-005	0.	-2.8125	-1.85185	0.	0.	1.	0.	0.	1.	0.	0.	0.	-16.	15.7953	0	
1.98968	37.9921	51	0	-1	2	2	-1	1	2.8125	5.89527e-005	0.	-2.8125	-1.92593	0.	0.	1.	0.	0.	1.	0.	0.	0.	-16.	15.7818	0	
2.01548	38.7605	52	0	-1	2	2	-1	1	2.8125	5.89527e-005	0.	-2.8125	-2.	0.	0.	1.	0.	0.	1.	0.	0.	0.	-16.	15.7883	0	
2.04486	34.0405	53	0	-1	2	2	-1	1	2.8125	5.89527e-005	0.	-2.8125	-2.07407	0.	0.	1.	0.	0.	1.	0.	0.	0.	-16.	15.7952	0	
2.07019	39.4744	54	0	-1	2	2	-1	1	2.8125	5.89527e-005	0.	-2.8125	-2.14815	0.	0.	1.	0.	0.	1.	0.	0.	0.	-16.	15.7701	0	
2.09768	36.3752	55	0	-1	2	2	-1	1	2.8125	5.89527e-005	0.	-2.8125	-2.22222	0.	0.	1.	0.	0.	1.	0.	0.	0.	-16.	15.8042	0	
2.12317	39.231	56	0	-1	2	2	-1	1	2.8125	5.89527e-005	0.	-2.8125	-2.2963	0.	0.	1.	0.	0.	1.	0.	0.	0.	-16.	15.7903	0	
2.14857	39.372	57	0	-1	2	2	-1	-1	2.8125	5.89527e-005	0.	-2.8125	-2.37037	0.	0.	1.	0.	0.	1.	0.	0.	0.	-16.	15.8079	0	
2.17903	32.8352	58	0	-1	2	2	-1	-1	2.81348	5.89527e-005	0.	-2.8125	-2.44444	0.	0.	1.	0.	0.	1.	0.	0.	0.	-16.	15.8109	0	
2.2059	37.2085	59	0	-1	2	2	-1	-1	2.8164	5.89527e-005	0.	-2.8125	-2.51852	0.	0.	1.	0.	0.	1.	0.	0.	0.	-16.	15.7764	0	
2.23347	36.2765	60	0	-1	2	2	-1	-1	2.82127	5.89527e-005	0.	-2.8125	-2.59259	0.	0.	1.	0.	0.	1.	0.	0.	0.	-16.	15.8051	0	
2.25913	38.9717	61	0	-1	2	2	-1	-1	2.82806	5.89527e-005	0.	-2.8125	-2.66667	0.	0.	1.	0.	0.	1.	0.	0.	0.	-16.	15.8025	0	
2.28765	35.0623	62	0	-1	2	2	-1	-1	2.83678	5.89527e-005	0.	-2.8125	-2.74074	0.	0.	1.	0.	0.	1.	0.	0.	0.	-16.	15.8183	0	
2.31412	37.773	63	0	-1	2	2	-1	-1	2.8474	5.89527e-005	0.	-2.8125	-2.81481	0.	0.	1.	0.	0.	1.	0.	0.	0.	-16.	15.8005	0	
2.3459	31.4645	64	0	-1	2	2	-1	-1	2.8599	5.89527e-005	0.	-2.8125	-2.88889	0.	0.	1.	0.	0.	1.	0.	0.	0.	-16.	15.817	0	
2.37636	32.8386	65	0	-1	2	2	-1	-1	2.87425	5.89527e-005	0.	-2.8125	-2.96296	0.	0.	1.	0.	0.	1.	0.	0.	0.	-16.	15.7832	0	
2.4081	31.4985	66	0	-1	2	2	-1	-1	2.85354	-2.35522e-002	0.	-2.77449	-3.03739	0.	4.12092e-004	1.	0.	4.12092e-004	1.	0.	1.41667	2.36111e-002	-16.	17.8197	0	
2.43789	33.5704	67	0	-1	1	1	-1	-1	2.87179	-2.35522e-002	0.	-2.77452	-3.11146	0.	4.12092e-004	1.	0.	4.12092e-004	1.	0.	0.	2.36111e-002	-16.	15.7891	0	
2.47153	29.7232	68	0	-1	1	1	-1	-1	2.89182	-2.35522e-002	0.	-2.77455	-3.18554	0.	4.12092e-004	1.	0.	4.12092e-004	1.	0.	0.	2.36111e-002	-16.	15.8045	0	
2.50332	31.4632	69	0	-1	1	1	-1	-1	2.9136	-2.35522e-002	0.	-2.77458	-3.25961	0.	4.12092e-004	1.	0.	4.12092e-004	1.	0.	0.	2.36111e-002	-16.	15.7822	0	
2.53487	31.6949	70	0	-1	1	1	-1	-1	2.93708	-2.35522e-002	0.	-2.77461	-3.33368	0.	4.12092e-004	1.	0.	4.12092e-004	1.	0.	0.	2.36111e-002	-16.	15.7969	0	
2.565	33.1884	71	0	-1	1	1	-1	-1	2.96223	-2.35522e-002	0.	-2.77464	-3.40776	0.	4.12092e-004	1.	0.	4.12092e-004	1.	0.	0.	2.36111e-002	-16.	15.8009	0	
2.59982	28.7173	72	0	-1	1	1	-1	-1	2.989	-2.35522e-002	0.	-2.77467	-3.48183	0.	4.12092e-004	1.	0.	4.12092e-004	1.	0.	0.	2.36111e-002	-16.	15.812	0	
