Time	FPS	Frame	Crash	RB	RU	LU	LB	OC	Dither	DAngle	swAngle	OX	OY	OZ	HX	HY	HZ	HA	AccumulativeHeading(Y)	Speed	Dynamic
3.58003e-004	2793.27	1	0	1	3	3	1	2	2.8125	-1.58704e-003	0.	-2.8125	0.	0.	0.	1.	0.	0.	0.	0.	0	
0.490286	2.04112	2	0	1	3	3	1	2	2.81248	-1.58704e-003	0.	-2.8125	0.	0.	0.	1.	0.	0.	0.	0.	0	
0.567991	12.8692	3	0	1	3	3	1	2	2.81248	-1.58704e-003	0.	-2.8125	0.	0.	0.	1.	0.	0.	0.	0.	0	
0.585006	58.7734	4	0	1	3	3	1	2	2.81248	-1.58704e-003	0.	-2.8125	0.	0.	0.	1.	0.	0.	0.	0.	0	
0.602618	56.7779	5	0	1	3	3	1	2	2.81248	-1.58704e-003	0.	-2.8125	0.	0.	0.	1.	0.	0.	0.	0.	0	
0.624058	46.6424	6	0	1	3	3	1	2	2.81248	-1.58704e-003	0.	-2.8125	0.	0.	0.	1.	0.	0.	0.	0.	0	
0.640774	59.822	7	0	1	3	3	1	2	2.81248	-1.58704e-003	0.	-2.8125	0.	0.	0.	1.	0.	0.	0.	0.	0	
0.657789	58.7724	8	0	1	3	3	1	2	2.81248	-1.58704e-003	0.	-2.8125	0.	0.	0.	1.	0.	0.	0.	0.	0	
0.673784	62.5179	9	0	1	3	3	1	2	2.81248	-1.58704e-003	0.	-2.8125	0.	0.	0.	1.	0.	0.	0.	0.	0	
0.690768	58.881	10	0	1	3	3	1	2	2.81248	-1.58704e-003	0.	-2.8125	0.	0.	0.	1.	0.	0.	0.	0.	0	
0.707777	58.7932	11	0	1	3	3	1	2	2.81248	-1.58704e-003	0.	-2.8125	0.	0.	0.	1.	0.	0.	0.	0.	0	
0.723817	62.3426	12	0	1	3	3	1	2	2.81248	-1.58704e-003	0.	-2.8125	0.	0.	0.	1.	0.	0.	0.	0.	0	
0.739777	62.6562	13	0	1	3	3	1	2	2.81248	-1.58704e-003	0.	-2.8125	0.	0.	0.	1.	0.	0.	0.	0.	0	
0.755784	62.4719	14	0	1	3	3	1	2	2.81248	-1.58704e-003	0.	-2.8125	0.	0.	0.	1.	0.	0.	0.	0.	0	
0.771781	62.5143	15	0	1	3	3	1	2	2.81248	-1.58704e-003	0.	-2.8125	0.	0.	0.	1.	0.	0.	0.	0.	0	
0.788786	58.8068	16	0	1	3	3	1	2	2.81248	-1.58704e-003	0.	-2.8125	0.	0.	0.	1.	0.	0.	0.	0.	0	
0.804783	62.5084	17	0	1	3	3	1	2	2.81248	-1.58704e-003	0.	-2.8125	0.	0.	0.	1.	0.	0.	0.	0.	0	
0.820788	62.4837	18	0	1	3	3	1	2	2.81248	-1.58704e-003	0.	-2.8125	0.	0.	0.	1.	0.	0.	0.	0.	0	
0.837785	58.8319	19	0	1	3	3	1	2	2.81248	-1.58704e-003	0.	-2.8125	0.	0.	0.	1.	0.	0.	0.	0.	0	
0.854793	58.7964	20	0	1	3	3	1	2	2.81248	-1.58704e-003	0.	-2.8125	0.	0.	0.	1.	0.	0.	0.	0.	0	
0.871772	58.8957	21	0	1	3	3	1	2	2.81248	-1.58704e-003	0.	-2.8125	0.	0.	0.	1.	0.	0.	0.	0.	0	
0.888793	58.7505	22	0	1	3	3	1	2	2.81248	-1.58704e-003	0.	-2.8125	0.	0.	0.	1.	0.	0.	0.	0.	0	
0.906025	58.0321	23	0	1	3	3	1	2	2.81248	-1.58704e-003	0.	-2.8125	0.	0.	0.	1.	0.	0.	0.	0.	0	
0.922873	59.3547	24	0	1	3	3	1	2	2.81248	-1.58704e-003	0.	-2.8125	0.	0.	0.	1.	0.	0.	0.	0.	0	
0.938788	62.8333	25	0	1	3	3	1	2	2.81248	-1.58704e-003	0.	-2.8125	0.	0.	0.	1.	0.	0.	0.	0.	0	
0.955791	58.812	26	0	1	3	3	1	2	2.81248	-1.58704e-003	0.	-2.8125	0.	0.	0.	1.	0.	0.	0.	0.	0	
0.972788	58.835	27	0	1	3	3	1	2	2.81248	-1.58704e-003	0.	-2.8125	0.	0.	0.	1.	0.	0.	0.	0.	0	
0.989785	58.8339	28	0	1	3	3	1	2	2.81248	-1.58704e-003	0.	-2.8125	0.	0.	0.	1.	0.	0.	0.	0.	0	
1.00679	58.8089	29	0	1	3	3	1	2	2.81248	-1.58704e-003	0.	-2.8125	0.	0.	0.	1.	0.	0.	0.	0.	0	
1.02388	58.5118	30	0	1	3	3	1	2	2.81248	-1.58704e-003	0.	-2.8125	0.	0.	0.	1.	0.	0.	0.	0.	0	
1.03979	62.8416	31	0	1	3	3	1	2	2.81248	-1.58704e-003	0.	-2.8125	0.	0.	0.	1.	0.	0.	0.	0.	0	
1.05682	58.7442	32	0	1	3	3	1	2	2.81248	-1.58704e-003	0.	-2.8125	0.	0.	0.	1.	0.	0.	0.	0.	0	
1.07378	58.9449	33	0	1	3	3	1	2	2.81248	-1.58704e-003	0.	-2.8125	0.	0.	0.	1.	0.	0.	0.	0.	0	
1.0898	62.4377	34	0	1	3	3	1	2	2.81248	-1.58704e-003	0.	-2.8125	0.	0.	0.	1.	0.	0.	0.	0.	0	
1.10684	58.6828	35	0	1	3	3	1	2	2.81248	-1.58704e-003	0.	-2.8125	0.	0.	0.	1.	0.	0.	0.	0.	0	
1.12282	62.5592	36	0	1	3	3	1	2	2.81248	-1.58704e-003	0.	-2.8125	0.	0.	0.	1.	0.	0.	0.	0.	0	
1.1398	58.9082	37	0	1	3	3	1	2	2.81248	-1.58704e-003	0.	-2.8125	0.	0.	0.	1.	0.	0.	0.	0.	0	
1.15684	58.6621	38	0	1	3	3	1	2	2.81248	-1.58704e-003	0.	-2.8125	0.	0.	0.	1.	0.	0.	0.	0.	0	
1.17383	58.8737	39	0	1	3	3	1	2	2.81248	-1.58704e-003	0.	-2.8125	0.	0.	0.	1.	0.	0.	0.	0.	0	
1.19084	58.7765	40	0	1	3	3	1	2	2.81248	-1.58704e-003	0.	-2.8125	0.	0.	0.	1.	0.	0.	0.	0.	0	
1.20783	58.8789	41	0	1	3	3	1	2	2.81248	-1.58704e-003	0.	-2.8125	0.	0.	0.	1.	0.	0.	0.	0.	0	
1.2248	58.9376	42	0	1	3	3	1	2	2.81248	-1.58704e-003	0.	-2.8125	0.	0.	0.	1.	0.	0.	0.	0.	0	
1.24081	62.4554	43	0	1	3	3	1	2	2.81248	-1.58704e-003	0.	-2.8125	0.	0.	0.	1.	0.	0.	0.	0.	0	
1.25781	58.8099	44	0	1	3	3	1	2	2.81248	-1.58704e-003	0.	-2.8125	0.	0.	0.	1.	0.	0.	0.	0.	0	
1.27483	58.7515	45	0	1	3	3	1	2	2.81248	-1.58704e-003	0.	-2.8125	0.	0.	0.	1.	0.	0.	0.	0.	0	
1.29087	62.3614	46	0	1	3	3	1	2	2.81248	-1.58704e-003	0.	-2.8125	0.	0.	0.	1.	0.	0.	0.	0.	0	
1.30682	62.6977	47	0	1	3	3	1	2	2.81248	-1.58704e-003	0.	-2.8125	0.	0.	0.	1.	0.	0.	0.	0.	0	
1.32383	58.7724	48	0	1	3	3	1	2	2.81248	-1.58704e-003	0.	-2.8125	0.	0.	0.	1.	0.	0.	0.	0.	0	
1.34082	58.8549	49	0	1	3	3	1	2	2.81248	-1.58704e-003	0.	-2.8125	0.	0.	0.	1.	0.	0.	0.	0.	0	
1.35783	58.8078	50	0	1	3	3	1	2	2.81248	-1.58704e-003	0.	-2.8125	0.	0.	0.	1.	0.	0.	0.	0.	0	
1.37484	58.7943	51	0	1	3	3	1	2	2.81248	-1.58704e-003	0.	-2.8125	0.	0.	0.	1.	0.	0.	0.	0.	0	
1.39087	62.3578	52	0	1	3	3	1	2	2.81248	-1.58704e-003	0.	-2.8125	0.	0.	0.	1.	0.	0.	0.	0.	0	
1.40783	58.9627	53	0	1	3	3	1	2	2.81248	-1.58704e-003	0.	-2.8125	0.	0.	0.	1.	0.	0.	0.	0.	0	
1.42383	62.4943	54	0	1	3	3	1	2	2.81248	-1.58704e-003	0.	-2.8125	0.	0.	0.	1.	0.	0.	0.	0.	0	
1.44082	58.8768	55	0	1	3	3	1	2	2.81248	-1.58704e-003	0.	-2.8125	0.	0.	0.	1.	0.	0.	0.	0.	0	
1.45781	58.8329	56	0	1	3	3	1	2	2.81248	-1.58704e-003	0.	-2.8125	0.	0.	0.	1.	0.	0.	0.	0.	0	
1.47482	58.8005	57	0	1	3	3	1	2	2.81248	-1.58704e-003	0.	-2.8125	0.	0.	0.	1.	0.	0.	0.	0.	0	
1.49081	62.5297	58	0	1	3	3	1	2	2.81248	-1.58704e-003	0.	-2.8125	0.	0.	0.	1.	0.	0.	0.	0.	0	
1.50781	58.8319	59	0	1	3	3	1	2	2.81248	-1.58704e-003	0.	-2.8125	0.	0.	0.	1.	0.	0.	0.	0.	0	
