Time	FPS	Frame	Crash	RB	RU	LU	LB	OC	Dither	DAngle	swAngle	OX	OY	OZ	HX	HY	HZ	HA	AccumulativeHeading(Y)	Speed
1.47614e-004	6774.41	1	0	1	3	3	1	2	0.	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
2.69363	0.371267	2	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.20338	1.96176	3	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.23164	35.3836	4	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.25952	35.8683	5	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.2778	54.7054	6	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.29532	57.0631	7	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.31238	58.6264	8	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.32835	62.6287	9	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.34538	58.7147	10	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.36238	58.8096	11	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.3784	62.4446	12	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.39556	58.2757	13	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.41227	59.8174	14	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.4292	59.0928	15	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.44615	58.9897	16	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.46317	58.7387	17	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.48008	59.1572	18	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.49705	58.9163	19	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.51398	59.0612	20	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.53093	59.0055	21	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.54788	58.9929	22	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.56476	59.2588	23	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.58179	58.7199	24	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.59882	58.7179	25	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.61576	59.0149	26	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.63303	57.8959	27	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.65022	58.1765	28	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.66717	58.9939	29	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.6844	58.0643	30	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.70138	58.8702	31	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.71815	59.6236	32	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.73509	59.0612	33	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.75183	59.7085	34	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.76859	59.6977	35	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.78551	59.0739	36	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.80225	59.7451	37	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.81915	59.1889	38	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.83612	58.9226	39	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.85299	59.2567	40	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.8698	59.5132	41	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.8868	58.795	42	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.90378	58.9236	43	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.92091	58.3486	44	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.9384	57.1774	45	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.95539	58.8828	46	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.97139	62.5035	47	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.98825	59.2906	48	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
4.00525	58.843	49	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
4.02214	59.1963	50	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
4.03913	58.8399	51	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
4.05612	58.8556	52	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
4.07302	59.1953	53	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
4.08995	59.0644	54	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
4.10692	58.9184	55	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
4.12459	56.5923	56	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
4.14141	59.4524	57	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
4.15841	58.8273	58	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
4.17541	58.8127	59	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
4.19242	58.8179	60	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
4.20942	58.8138	61	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
4.22642	58.8305	62	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
4.24342	58.795	63	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
4.26042	58.8326	64	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
4.27742	58.8305	65	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
4.29343	62.4764	66	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
4.31025	59.4459	67	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
