Time	FPS	Frame	Crash	RB	RU	LU	LB	OC	Dither	DAngle	swAngle	OX	OY	OZ	HX	HY	HZ	HA	AccumulativeHeading(Y)	Speed
3.75742	59.4353	44	0	1	3	3	1	2	5.40563e-006	2.35733e-004	0.	0.	0.833333	0.	0.	1.	0.	0.	0.	12.	
3.77448	58.5984	45	0	1	3	3	1	2	5.6342e-006	2.35733e-004	0.	0.	0.888889	0.	0.	1.	0.	0.	0.	12.	
3.79134	59.3161	46	0	1	3	3	1	2	5.86277e-006	2.35733e-004	0.	0.	0.944444	0.	0.	1.	0.	0.	0.	12.	
3.80835	58.7856	47	0	1	3	3	1	2	6.09135e-006	2.35733e-004	0.	0.	1.	0.	0.	1.	0.	0.	0.	12.	
3.82523	59.2408	48	0	1	3	3	1	2	6.31992e-006	2.35733e-004	0.	0.	1.05556	0.	0.	1.	0.	0.	0.	12.	
3.84229	58.6243	49	0	1	3	3	1	2	6.54849e-006	2.35733e-004	0.	0.	1.11111	0.	0.	1.	0.	0.	0.	12.	
3.85916	59.2715	50	0	1	3	3	1	2	6.77707e-006	2.35733e-004	0.	0.	1.16667	0.	0.	1.	0.	0.	0.	12.	
3.87619	58.7095	51	0	1	3	3	1	2	7.00564e-006	2.35733e-004	0.	0.	1.22222	0.	0.	1.	0.	0.	0.	12.	
3.89307	59.2683	52	0	1	3	3	1	2	7.23421e-006	2.35733e-004	0.	0.	1.27778	0.	0.	1.	0.	0.	0.	12.	
3.91002	58.9719	53	0	1	3	3	1	2	7.46278e-006	2.35733e-004	0.	0.	1.33333	0.	0.	1.	0.	0.	0.	12.	
3.927	58.8943	54	0	1	3	3	1	2	7.69136e-006	2.35733e-004	0.	0.	1.38889	0.	0.	1.	0.	0.	0.	12.	
3.94386	59.3352	55	0	1	3	3	1	2	7.91993e-006	2.35733e-004	0.	0.	1.44444	0.	0.	1.	0.	0.	0.	12.	
3.96112	57.9191	56	0	1	3	3	1	2	8.1485e-006	2.35733e-004	0.	0.	1.5	0.	0.	1.	0.	0.	0.	12.	
3.97792	59.5164	57	0	1	3	3	1	2	8.37707e-006	2.35733e-004	0.	0.	1.55556	0.	0.	1.	0.	0.	0.	12.	
3.99474	59.4801	58	0	1	3	3	1	2	8.60565e-006	2.35733e-004	0.	0.	1.61111	0.	0.	1.	0.	0.	0.	12.	
4.01166	59.0865	59	0	1	3	3	1	2	8.83422e-006	2.35733e-004	0.	0.	1.66667	0.	0.	1.	0.	0.	0.	12.	
4.02876	58.4691	60	0	1	4	4	1	2	9.29136e-006	2.35733e-004	0.	0.	1.77778	0.	0.	1.	0.	0.	0.	24.	
4.04557	59.5036	61	0	1	4	4	1	2	9.97708e-006	2.35733e-004	0.	0.	1.94444	0.	0.	1.	0.	0.	0.	36.	
4.06261	58.6887	62	0	1	4	4	1	3	1.06628e-005	6.35203e-004	0.	0.	2.11111	0.	0.	1.	0.	0.	0.	36.	
4.07945	59.3692	63	0	2	4	4	2	3	1.42266e-005	6.35203e-004	0.	0.	2.33333	0.	0.	1.	0.	0.	0.	48.	
4.09647	58.7637	64	0	2	4	4	2	3	1.66902e-005	6.35203e-004	0.	0.	2.55556	0.	0.	1.	0.	0.	0.	48.	
4.11333	59.2991	65	0	2	4	4	2	3	1.97698e-005	6.35203e-004	0.	0.	2.83333	0.	0.	1.	0.	0.	0.	60.	
4.13028	59.0013	66	0	2	4	4	2	3	2.28493e-005	6.35203e-004	0.	0.	3.11111	0.	0.	1.	0.	0.	0.	60.	
4.14781	57.0602	67	0	2	4	4	2	3	2.59289e-005	6.35203e-004	0.	0.	3.38889	0.	0.	1.	0.	0.	0.	60.	
4.16469	59.2429	68	0	2	4	4	2	3	2.90084e-005	6.35203e-004	0.	0.	3.66667	0.	0.	1.	0.	0.	0.	60.	
4.18193	57.984	69	0	2	5	5	2	3	3.2088e-005	6.35203e-004	0.	0.	3.94444	0.	0.	1.	0.	0.	0.	60.	
4.19893	58.8367	70	0	2	5	5	2	4	3.51675e-005	1.26003e-003	0.	0.	4.22222	0.	0.	1.	0.	0.	0.	60.	
4.21593	58.8347	71	0	3	5	5	3	4	4.28015e-005	1.26003e-003	0.	0.	4.5	0.	0.	1.	0.	0.	0.	60.	
4.23293	58.8033	72	0	3	5	5	3	4	4.89103e-005	1.26003e-003	0.	0.	4.77778	0.	0.	1.	0.	0.	0.	60.	
4.24993	58.8399	73	0	3	5	5	3	4	5.50191e-005	1.26003e-003	0.	0.	5.05556	0.	0.	1.	0.	0.	0.	60.	
4.26693	58.8085	74	0	3	5	5	3	4	6.11279e-005	1.26003e-003	0.	0.	5.33333	0.	0.	1.	0.	0.	0.	60.	
4.28393	58.8273	75	0	3	5	5	3	4	6.72366e-005	1.26003e-003	0.	0.	5.61111	0.	0.	1.	0.	0.	0.	60.	
4.29994	62.4693	76	0	3	5	5	3	4	7.33454e-005	1.26003e-003	0.	0.	5.88889	0.	0.	1.	0.	0.	0.	60.	
4.31693	58.8692	77	0	3	6	6	3	4	7.94542e-005	1.26003e-003	0.	0.	6.16667	0.	0.	1.	0.	0.	0.	60.	
4.33381	59.2101	78	0	4	6	6	4	5	8.5563e-005	2.08243e-003	0.	0.	6.44444	0.	0.	1.	0.	0.	0.	60.	
