Time	FPS	Frame	Crash	RB	RU	LU	LB	OC	Dither	DAngle	swAngle	OX	OY	OZ	HX	HY	HZ	DX	DY	DZ	HA	RHA	AccumulativeHeading(Y)	Speed	RSpeed	Dynamic		
1.99222e-005	50195.2	1	0	(0)1	(0)1	(0)1	(0)1	(0)1	2.8125	-1.8308	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	-1	
0.159817	6.25795	2	0	(0)1	(0)1	(0)1	(0)1	(0)1	2.73599	-1.8308	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	-1	
0.20453	22.3648	3	0	(0)1	(0)1	(0)1	(0)1	(0)1	2.73599	-1.8308	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	-1	
0.228326	42.024	4	0	(0)1	(0)1	(0)1	(0)1	(0)1	2.73599	-1.8308	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	-1	
0.257269	34.5506	5	0	(0)1	(0)1	(0)1	(0)1	(0)1	2.73599	-1.8308	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	-1	
0.273766	60.6155	6	0	(0)1	(0)1	(0)1	(0)1	(0)1	2.73599	-1.8308	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	-1	
0.289802	62.3613	7	0	(0)1	(0)1	(0)1	(0)1	(0)1	2.73599	-1.8308	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	-1	
0.306845	58.6745	8	0	(0)1	(0)1	(0)1	(0)1	(0)1	2.73599	-1.8308	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	-1	
0.323851	58.8026	9	0	(0)1	(0)1	(0)1	(0)1	(0)1	2.73599	-1.8308	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	-1	
0.341972	55.1843	10	0	(0)1	(0)1	(0)1	(0)1	(0)1	2.73599	-1.8308	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	-1	
0.358759	59.5692	11	0	(0)1	(0)1	(0)1	(0)1	(0)1	2.73599	-1.8308	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	-1	
0.374858	62.1169	12	0	(0)1	(0)1	(0)1	(0)1	(0)1	2.73599	-1.8308	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	-1	
0.391781	59.091	13	0	(0)1	(0)1	(0)1	(0)1	(0)1	2.73599	-1.8308	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	-1	
0.408763	58.8852	14	0	(0)1	(0)1	(0)1	(0)1	(0)1	2.73599	-1.8308	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	-1	
0.425861	58.486	15	0	(0)1	(0)1	(0)1	(0)1	(0)1	2.73599	-1.8308	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	-1	
0.442811	58.9974	16	0	(0)1	(0)1	(0)1	(0)1	(0)1	2.73599	-1.8308	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	-1	
0.459755	59.0184	17	0	(0)1	(0)1	(0)1	(0)1	(0)1	2.73599	-1.8308	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	-1	
0.476806	58.6475	18	0	(0)1	(0)1	(0)1	(0)1	(0)1	2.73599	-1.8308	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	-1	
0.493791	58.8768	19	0	(0)1	(0)1	(0)1	(0)1	(0)1	2.73599	-1.8308	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	-1	
0.509776	62.5579	20	0	(0)1	(0)1	(0)1	(0)1	(0)1	2.73599	-1.8308	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	-1	
0.525854	62.195	21	0	(0)1	(0)1	(0)1	(0)1	(0)1	2.73599	-1.8308	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	-1	
0.542732	59.2496	22	0	(0)1	(0)1	(0)1	(0)1	(0)1	2.73599	-1.8308	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	-1	
0.559828	58.4922	23	0	(0)1	(0)1	(0)1	(0)1	(0)1	2.73599	-1.8308	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	-1	
0.583253	42.6896	24	0	(0)1	(0)1	(0)1	(0)1	(0)1	2.73599	-1.8308	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	-1	
0.599738	60.661	25	0	(0)1	(0)1	(0)1	(0)1	(0)1	2.73599	-1.8308	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	-1	
0.615751	62.4518	26	0	(0)1	(0)1	(0)1	(0)1	(0)1	2.73599	-1.8308	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	-1	
0.637727	45.5028	27	0	(0)1	(0)1	(0)1	(0)1	(0)1	2.73599	-1.8308	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	-1	
0.653834	62.0855	28	0	(0)1	(0)1	(0)1	(0)1	(0)1	2.73599	-1.8308	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	-1	
0.689017	28.4228	29	0	(0)1	(0)1	(0)1	(0)1	(0)1	2.73599	-1.8308	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	-1	
0.706856	56.0574	30	0	(0)1	(0)1	(0)1	(0)1	(0)1	2.73599	-1.8308	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	-1	
0.722851	62.519	31	0	(0)1	(0)1	(0)1	(0)1	(0)1	2.73599	-1.8308	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	-1	
0.741181	54.5564	32	0	(0)1	(0)1	(0)1	(0)1	(0)1	2.73599	-1.8308	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	-1	
0.75776	60.3175	33	0	(0)1	(0)1	(0)1	(0)1	(0)1	2.73599	-1.8308	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	-1	
0.77486	58.4798	34	0	(0)1	(0)1	(0)1	(0)1	(0)1	2.73599	-1.8308	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0.	0.	0	-1	
