Time	ExpDuration	FPS	Frame	Crash	RB	RU	LU	LB	OC	Dither	CustomDither	DAngle	swAngle	swNoDead	OX	OY	OZ	HX	HY	HZ	DX	DY	DZ	HA	RHA	AccumulativeHeading(Y)	Speed	RSpeed	radius	radiusR	radiusL	Dynamic	USRHIT	SCORE	STEERING	TurningRadius	TX	TY	TZ	toOBS	
8.42664e-003	0.	118.671	1	0	(0)1	(0)5	(0)5	(0)1	(0)3	0.	0.	-0.384301	0.	0.	0.	0.	0.	0.	1.	0.	0.	1.	0.	-0.	0.	0.	0.	0.	372.568	411.424	337.064	1	-1	0.	1	-2.	-2.	-2.	-2.		
0.373567	0.	2.73867	2	0	(0)22	(0)26	(0)26	(0)22	(0)24	-4.28305	-4.28305	-3.61974	0.	0.	-4.42317	19.9864	0.	0.	1.	0.	0.	1.	0.	-0.	0.	0.	0.	201.818	333.657	358.935	310.363	1	-1	0.	1	-2.	-2.	-2.	-2.	19.1271,14.1892,4.83674,3.16628,-21.9508,-17.7579,-14.0493,-11.3108,-10.3428,	
0.413192	0.	25.2367	3	0	(0)22	(0)26	(0)26	(0)22	(0)24	-3.74252	-3.74252	-3.61974	0.	0.	-4.42317	19.9864	0.	0.	1.	0.	0.	1.	0.	-0.	0.	0.	0.	0.	333.657	358.935	310.363	1	-1	0.	1	-2.	-2.	-2.	-2.	19.1271,14.1892,4.83674,3.16628,-21.9508,-17.7579,-14.0493,-11.3108,-10.3428,	
0.433159	0.	50.0834	4	0	(0)22	(0)26	(0)26	(0)22	(0)24	-3.74252	-3.74252	-3.61974	0.	0.	-4.42317	19.9864	0.	0.	1.	0.	0.	1.	0.	-0.	0.	0.	0.	0.	333.657	358.935	310.363	1	-1	0.	1	-2.	-2.	-2.	-2.	19.1271,14.1892,4.83674,3.16628,-21.9508,-17.7579,-14.0493,-11.3108,-10.3428,	
0.464261	0.	32.1513	5	0	(0)22	(0)26	(0)26	(0)22	(0)24	-3.74252	-3.74252	-3.61974	0.	0.	-4.42317	19.9864	0.	0.	1.	0.	0.	1.	0.	-0.	0.	0.	0.	0.	333.657	358.935	310.363	1	-1	0.	1	-2.	-2.	-2.	-2.	19.1271,14.1892,4.83674,3.16628,-21.9508,-17.7579,-14.0493,-11.3108,-10.3428,	
0.488877	0.	40.6246	6	0	(0)22	(0)26	(0)26	(0)22	(0)24	-3.74252	-3.74252	-3.61974	0.	0.	-4.42317	19.9864	0.	0.	1.	0.	0.	1.	0.	-0.	0.	0.	0.	0.	333.657	358.935	310.363	1	-1	0.	1	-2.	-2.	-2.	-2.	19.1271,14.1892,4.83674,3.16628,-21.9508,-17.7579,-14.0493,-11.3108,-10.3428,	
0.505291	0.	60.9225	7	0	(0)22	(0)26	(0)26	(0)22	(0)24	-3.74252	-3.74252	-3.61974	0.	0.	-4.42317	19.9864	0.	0.	1.	0.	0.	1.	0.	-0.	0.	0.	0.	0.	333.657	358.935	310.363	1	-1	0.	1	-2.	-2.	-2.	-2.	19.1271,14.1892,4.83674,3.16628,-21.9508,-17.7579,-14.0493,-11.3108,-10.3428,	
0.53345	0.	35.513	8	0	(0)22	(0)26	(0)26	(0)22	(0)24	-3.74252	-3.74252	-3.61974	0.	0.	-4.42317	19.9864	0.	0.	1.	0.	0.	1.	0.	-0.	0.	0.	0.	0.	333.657	358.935	310.363	1	-1	0.	1	-2.	-2.	-2.	-2.	19.1271,14.1892,4.83674,3.16628,-21.9508,-17.7579,-14.0493,-11.3108,-10.3428,	
0.563784	0.	32.9663	9	0	(0)22	(0)26	(0)26	(0)22	(0)24	-3.74252	-3.74252	-3.61974	0.	0.	-4.42317	19.9864	0.	0.	1.	0.	0.	1.	0.	-0.	0.	0.	0.	0.	333.657	358.935	310.363	1	-1	0.	1	-2.	-2.	-2.	-2.	19.1271,14.1892,4.83674,3.16628,-21.9508,-17.7579,-14.0493,-11.3108,-10.3428,	
0.583637	0.	50.371	10	0	(0)22	(0)26	(0)26	(0)22	(0)24	-3.74252	-3.74252	-3.61974	0.	0.	-4.42317	19.9864	0.	0.	1.	0.	0.	1.	0.	-0.	0.	0.	0.	0.	333.657	358.935	310.363	1	-1	0.	1	-2.	-2.	-2.	-2.	19.1271,14.1892,4.83674,3.16628,-21.9508,-17.7579,-14.0493,-11.3108,-10.3428,	
