Time	FPS	Frame	Crash	RB	RU	LU	LB	OC	Dither	DAngle	swAngle	OX	OY	OZ	HX	HY	HZ	DX	DY	DZ	HA	AccumulativeHeading(Y)	Speed	Dynamic
3.13319e-004	3191.64	1	0	1	28	28	1	14	2.8125	1.35424	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0	
0.306792	3.26287	2	0	1	28	28	1	14	2.83961	1.35424	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0	
0.348602	23.9179	3	0	1	28	28	1	14	2.83961	1.35424	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0	
0.370651	45.3533	4	0	1	28	28	1	14	2.83961	1.35424	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0	
0.392786	45.1776	5	0	1	28	28	1	14	2.83961	1.35424	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0	
0.411978	52.1047	6	0	1	28	28	1	14	2.83961	1.35424	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0	
0.428032	62.2916	7	0	1	28	28	1	14	2.83961	1.35424	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0	
0.445037	58.8054	8	0	1	28	28	1	14	2.83961	1.35424	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0	
0.461034	62.5103	9	0	1	28	28	1	14	2.83961	1.35424	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0	
0.478002	58.9351	10	0	1	28	28	1	14	2.83961	1.35424	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0	
0.495024	58.748	11	0	1	28	28	1	14	2.83961	1.35424	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0	
0.511065	62.3397	12	0	1	28	28	1	14	2.83961	1.35424	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0	
0.527036	62.6119	13	0	1	28	28	1	14	2.83961	1.35424	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0	
0.544024	58.8649	14	0	1	28	28	1	14	2.83961	1.35424	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0	
0.56104	58.7689	15	0	1	28	28	1	14	2.83961	1.35424	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0	
0.578031	58.8555	16	0	1	28	28	1	14	2.83961	1.35424	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0	
0.596859	53.1112	17	0	1	28	28	1	14	2.83961	1.35424	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0	
0.614036	58.2194	18	0	1	28	28	1	14	2.83961	1.35424	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0	
0.631402	57.5839	19	0	1	28	28	1	14	2.83961	1.35424	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0	
0.648021	60.1725	20	0	1	28	28	1	14	2.83961	1.35424	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0	
0.665038	58.7626	21	0	1	28	28	1	14	2.83961	1.35424	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0	
0.682039	58.82	22	0	1	28	28	1	14	2.83961	1.35424	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0	
0.698033	62.5232	23	0	1	28	28	1	14	2.83961	1.35424	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0	
0.714024	62.5374	24	0	1	28	28	1	14	2.83961	1.35424	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0	
0.731026	58.8148	25	0	1	28	28	1	14	2.83961	1.35424	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0	
0.748048	58.748	26	0	1	28	28	1	14	2.83961	1.35424	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0	
0.765037	58.8639	27	0	1	28	28	1	14	2.83961	1.35424	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0	
0.782056	58.7553	28	0	1	28	28	1	14	2.83961	1.35424	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0	
0.799033	58.9047	29	0	1	28	28	1	14	2.83961	1.35424	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0	
0.816063	58.7199	30	0	1	28	28	1	14	2.83961	1.35424	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0	
0.833025	58.9529	31	0	1	28	28	1	14	2.83961	1.35424	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0	
0.850075	58.6544	32	0	1	28	28	1	14	2.83961	1.35424	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0	
0.867047	58.9204	33	0	1	28	28	1	14	2.83961	1.35424	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0	
0.884036	58.8608	34	0	1	28	28	1	14	2.83961	1.35424	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0	
0.901027	58.8524	35	0	1	28	28	1	14	2.83961	1.35424	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0	
0.918043	58.7689	36	0	1	28	28	1	14	2.83961	1.35424	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0	
0.935027	58.8806	37	0	1	28	28	1	14	2.83961	1.35424	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0	
0.952052	58.7366	38	0	1	28	28	1	14	2.83961	1.35424	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0	
0.968049	62.5114	39	0	1	28	28	1	14	2.83961	1.35424	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0	
0.985101	58.6451	40	0	1	28	28	1	14	2.83961	1.35424	0.	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	0	
1.00203	59.0591	41	0	1	28	28	1	14	2.83917	1.33063	0.941191	-2.81152	2.27984e-002	0.	4.12092e-004	1.	0.	4.12092e-004	1.	0.	1.41667	2.36111e-002	5.00015	0	
1.01907	58.7116	42	0	1	29	28	1	14	2.83826	1.2834	0.941191	-2.80953	6.83939e-002	0.	1.23627e-003	0.999999	0.	1.23627e-003	0.999999	0.	2.83333	7.08333e-002	10.0003	0	
1.03503	62.6201	43	0	1	29	29	1	14	2.83701	1.21257	0.941191	-2.80643	0.146912	0.	2.47255e-003	0.999997	0.	2.47255e-003	0.999997	0.	4.25	0.141667	17.188	0	
1.05205	58.7845	44	0	2	30	29	2	15	2.8352	1.21485	0.941191	-2.80212	0.25256	0.	4.1209e-003	0.999992	0.	4.1209e-003	0.999992	0.	5.66667	0.236111	23.1257	0	
1.06911	58.6191	45	0	3	31	30	3	16	2.83304	1.1928	0.941191	-2.79647	0.382441	0.	6.18134e-003	0.999981	0.	6.18134e-003	0.999981	0.	7.08333	0.354167	28.4384	0	
1.08607	58.9466	46	0	3	32	31	3	17	2.83024	1.14642	0.941191	-2.7893	0.539438	0.	8.65382e-003	0.999963	0.	8.65382e-003	0.999963	0.	8.5	0.495833	34.376	0	
1.10204	62.6142	47	0	4	33	33	4	18	2.82652	1.07594	0.941191	-2.78053	0.71197	0.	1.15383e-002	0.999933	0.	1.15383e-002	0.999933	0.	9.91667	0.661111	37.8137	0	
1.12286	48.0363	48	0	5	34	34	5	19	2.82171	0.981063	0.941191	-2.77007	0.89423	0.	1.48348e-002	0.99989	0.	1.48348e-002	0.99989	0.	11.3333	0.85	40.	0	
1.14006	58.1183	49	0	6	35	35	6	20	2.81557	0.861954	0.941191	-2.75797	1.07609	0.	1.85431e-002	0.999828	0.	1.85431e-002	0.999828	0.	12.75	1.0625	40.	0	
1.15703	58.9341	50	0	7	37	36	7	21	2.80803	0.71833	0.941191	-2.74417	1.25752	0.	2.26631e-002	0.999743	0.	2.26631e-002	0.999743	0.	14.1667	1.29861	40.	0	
1.17304	62.4572	51	0	8	38	38	8	22	2.79901	0.550681	0.941191	-2.72858	1.43852	0.	2.71947e-002	0.99963	0.	2.71947e-002	0.99963	0.	15.5833	1.55833	40.	0	
1.1902	58.2747	52	0	9	39	39	9	23	2.79054	0.405707	0.941191	-2.7132	1.61983	0.	3.13138e-002	0.99951	0.	3.13138e-002	0.99951	0.	14.1667	1.79444	40.	0	
1.20704	59.4096	53	0	10	40	40	11	25	2.78268	0.37285	0.941191	-2.69811	1.80146	0.	3.50206e-002	0.999387	0.	3.50206e-002	0.999387	0.	12.75	2.00694	40.	0	
1.22307	62.3503	54	0	11	42	41	12	26	2.77581	0.272957	0.941191	-2.68337	1.98343	0.	3.83151e-002	0.999266	0.	3.83151e-002	0.999266	0.	11.3333	2.19583	40.	0	
1.23904	62.6213	55	0	12	43	43	13	27	2.76943	0.195279	0.941191	-2.66907	2.16574	0.	4.11975e-002	0.999151	0.	4.11975e-002	0.999151	0.	9.91667	2.36111	40.	0	
1.25604	58.8493	56	0	14	44	44	14	28	2.76388	0.140471	0.941191	-2.65527	2.3484	0.	4.36678e-002	0.999046	0.	4.36678e-002	0.999046	0.	8.5	2.50278	40.	0	
1.27303	58.8284	57	0	15	46	46	15	29	2.75925	0.108456	0.941191	-2.64204	2.53142	0.	4.57262e-002	0.998954	0.	4.57262e-002	0.998954	0.	7.08333	2.62083	40.	0	
