Time	FPS	Frame	Crash	RB	RU	LU	LB	OC	Dither	DAngle	swAngle	OX	OY	OZ	HX	HY	HZ	HA	AccumulativeHeading(Y)	Speed
1.32219e-004	7563.21	1	0	1	3	3	1	2	0.	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
2.10462	0.475174	2	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
2.76013	1.52555	3	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
2.79811	26.3275	4	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
2.82315	39.9316	5	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
2.8399	59.6988	6	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
2.85782	55.8123	7	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
2.87468	59.3214	8	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
2.89206	57.5309	9	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
2.92467	30.6685	10	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
2.94207	57.4461	11	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
2.95947	57.482	12	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
2.97641	59.0212	13	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
2.9934	58.8556	14	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.01041	58.7898	15	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.0274	58.8514	16	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.04341	62.4952	17	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.06008	59.9874	18	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.07705	58.9278	19	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.094	58.995	20	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.11123	58.0125	21	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.12841	58.2071	22	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.14544	58.7387	23	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.16242	58.9006	24	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.17944	58.746	25	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.19612	59.9614	26	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.21341	57.813	27	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.2304	58.866	28	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.24742	58.7751	29	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.26442	58.8085	30	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.28044	62.4163	31	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.29756	58.4062	32	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.3144	59.3788	33	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.33145	58.6575	34	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.34817	59.8163	35	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.36523	58.6015	36	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.38216	59.0939	37	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.39912	58.9498	38	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.41597	59.3352	39	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.43308	58.4619	40	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.44986	59.5925	41	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.46689	58.7241	42	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.48402	58.3815	43	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.50077	59.6966	44	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.51781	58.6627	45	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.53475	59.0339	46	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.55185	58.4949	47	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	
3.56879	59.0381	48	0	1	3	3	1	2	1.97704e-006	2.35733e-004	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	

