Time	FPS	Frame	Crash	RB	RU	LU	LB	OC	Dither	DAngle	swAngle	OX	OY	OZ	HX	HY	HZ	DX	DY	DZ	HA	AccumulativeHeading(Y)	Speed	Dynamic
1.17391	62.5209	39	0	1	12	10	1	5	2.85114	1.51522	3.53038	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	1	
1.19094	58.7428	40	0	1	12	10	1	5	2.85114	1.51522	3.53038	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	1	
1.20791	58.9016	41	0	1	12	10	1	5	2.85114	1.51522	3.53038	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	1	
1.22491	58.8263	42	0	1	12	10	1	5	2.85114	1.51522	3.53038	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	1	
1.24192	58.8012	43	0	1	12	10	1	5	2.85114	1.51522	3.53038	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	1	
1.2589	58.8775	44	0	1	12	10	1	5	2.85114	1.51522	3.53038	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	1	
1.27592	58.7585	45	0	1	12	10	1	5	2.85114	1.51522	3.53038	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	1	
1.29291	58.8597	46	0	1	12	10	1	5	2.85114	1.51522	3.53038	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	1	
1.30991	58.819	47	0	1	12	10	1	5	2.85114	1.51522	3.53038	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	1	
1.32692	58.8169	48	0	1	12	10	1	5	2.85114	1.51522	3.53038	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	1	
1.34391	58.844	49	0	1	12	10	1	5	2.85114	1.51522	3.53038	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	1	
1.36092	58.7751	50	0	1	12	10	1	5	2.85114	1.51522	3.53038	-2.8125	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.	1	
1.37792	58.8451	51	0	1	12	10	1	5	2.85122	1.51522	3.53038	-2.8125	2.89361e-003	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.625019	1	
1.39491	58.8503	52	0	1	12	10	1	5	2.85132	1.51522	3.53038	-2.8125	6.87232e-003	0.	0.	1.	0.	0.	1.	0.	0.	0.	0.859401	1	
1.41192	58.7824	53	0	1	12	10	1	6	2.8515	1.87653	3.53038	-2.8125	1.33829e-002	0.	0.	1.	0.	0.	1.	0.	0.	0.	1.40629	1	
1.42791	62.5492	54	0	1	12	10	1	6	2.85448	1.87653	3.53038	-2.8125	2.13404e-002	0.	0.	1.	0.	0.	1.	0.	0.	0.	1.7188	1	
1.44391	62.5032	55	0	1	12	10	1	6	2.8548	1.87653	3.53038	-2.8125	3.11063e-002	0.	0.	1.	0.	0.	1.	0.	0.	0.	2.10944	1	
1.45991	62.482	56	0	1	12	10	1	6	2.85517	1.87653	3.53038	-2.8125	4.2319e-002	0.	0.	1.	0.	0.	1.	0.	0.	0.	2.42195	1	
1.47593	62.4419	57	0	1	12	10	1	6	2.85557	1.87653	3.53038	-2.8125	5.46168e-002	0.	0.	1.	0.	0.	1.	0.	0.	0.	2.65633	1	
1.49192	62.5468	58	0	1	12	10	1	6	2.856	1.87653	3.53038	-2.8125	6.76381e-002	0.	0.	1.	0.	0.	1.	0.	0.	0.	2.81259	1	
1.50794	62.3949	59	0	1	12	10	1	6	2.85648	1.87653	3.53038	-2.8125	8.24678e-002	0.	0.	1.	0.	0.	1.	0.	0.	0.	3.20322	1	
1.52492	58.9089	60	0	1	12	10	1	6	2.85703	1.87653	3.53038	-2.8125	9.9106e-002	0.	0.	1.	0.	0.	1.	0.	0.	0.	3.59386	1	
1.54191	58.8472	61	0	1	12	10	1	6	2.85761	1.87653	3.53038	-2.8125	0.116829	0.	0.	1.	0.	0.	1.	0.	0.	0.	3.82824	1	
1.55893	58.7772	62	0	1	12	10	1	6	2.85825	1.87653	3.53038	-2.8125	0.136361	0.	0.	1.	0.	0.	1.	0.	0.	0.	4.21888	1	
1.57495	62.4066	63	0	1	12	11	1	6	2.8589	1.87653	3.53038	-2.8125	0.156255	0.	0.	1.	0.	0.	1.	0.	0.	0.	4.29701	1	
1.59102	62.2179	64	0	1	12	11	1	6	2.85957	1.87653	3.53038	-2.8125	0.176872	0.	0.	1.	0.	0.	1.	0.	0.	0.	4.45326	1	
1.60735	61.2392	65	0	1	12	11	1	6	2.8603	1.87653	3.53038	-2.8125	0.198935	0.	0.	1.	0.	0.	1.	0.	0.	0.	4.76577	1	
1.62392	60.3622	66	0	1	12	11	1	6	2.86104	1.87653	3.76476	-2.8125	0.221723	0.	0.	1.	0.	0.	1.	0.	0.	0.	4.92203	1	
1.64092	58.8336	67	0	1	12	11	1	6	2.8618	1.87653	4.00281	-2.8125	0.244871	0.	0.	1.	0.	0.	1.	0.	0.	0.	5.00015	1	
1.65801	58.4929	68	0	1	12	11	1	6	2.86259	1.87653	4.47157	-2.8125	0.269105	0.	0.	1.	0.	0.	1.	0.	0.	0.	5.23453	1	
1.67493	59.1234	69	0	1	12	11	1	6	2.86343	1.87653	4.944	-2.8125	0.294786	0.	0.	1.	0.	0.	1.	0.	0.	0.	5.54704	1	
1.69192	58.8555	70	0	1	12	11	1	6	2.86433	1.87653	5.41276	-2.8125	0.322275	0.	0.	1.	0.	0.	1.	0.	0.	0.	5.93768	1	
1.70892	58.8106	71	0	1	13	11	1	6	2.86528	1.87653	5.64714	-2.8125	0.351212	0.	0.	1.	0.	0.	1.	0.	0.	0.	6.25019	1	
1.72591	58.8399	72	0	1	13	11	1	6	2.86625	1.87653	5.88519	-2.8125	0.380871	0.	0.	1.	0.	0.	1.	0.	0.	0.	6.40645	1	
1.74192	62.4714	73	0	1	13	11	1	6	2.8657	1.83903	6.35395	-2.81094	0.41142	0.	6.54603e-004	1.	0.	6.54603e-004	1.	0.	2.25036	3.7506e-002	6.71896	1	
1.75897	58.6617	74	0	1	13	11	1	6	2.86501	1.79873	6.82638	-2.80925	0.442289	0.	1.35788e-003	0.999999	0.	1.35788e-003	0.999999	0.	2.41768	7.78006e-002	6.79708	1	
1.77593	58.976	75	0	2	13	11	1	7	2.86419	2.12673	7.29514	-2.80742	0.473115	0.	2.10944e-003	0.999998	0.	2.10944e-003	0.999998	0.	2.5837	0.120862	6.79708	1	
1.79193	62.4879	76	0	2	13	11	1	7	2.86676	2.0795	8.00195	-2.80539	0.503877	0.	2.93382e-003	0.999996	0.	2.93382e-003	0.999996	0.	2.83403	0.168096	6.79708	1	
1.80892	58.8618	77	0	2	13	11	2	7	2.86574	2.02809	8.70876	-2.80316	0.534575	0.	3.83102e-003	0.999993	0.	3.83102e-003	0.999993	0.	3.08435	0.219502	6.79708	1	
1.82594	58.7387	78	0	2	13	11	2	7	2.86451	1.97254	9.41191	-2.80073	0.565209	0.	4.80065e-003	0.999988	0.	4.80065e-003	0.999988	0.	3.33338	0.275058	6.79708	1	
1.84292	58.9141	79	0	2	13	12	2	7	2.86309	1.91281	10.1187	-2.79811	0.595777	0.	5.8431e-003	0.999983	0.	5.8431e-003	0.999983	0.	3.58371	0.334787	6.79708	1	
1.85992	58.7991	80	0	2	13	12	2	7	2.86145	1.84891	10.8255	-2.79527	0.626279	0.	6.95835e-003	0.999976	0.	6.95835e-003	0.999976	0.	3.83404	0.398687	6.79708	1	
1.87593	62.4879	81	0	2	13	12	2	7	2.85961	1.78084	11.5323	-2.79223	0.656715	0.	8.14641e-003	0.999967	0.	8.14641e-003	0.999967	0.	4.08437	0.46676	6.79708	1	
1.89195	62.4149	82	0	2	13	12	2	7	2.85749	1.70721	12.4735	-2.78892	0.687063	0.	9.43142e-003	0.999956	0.	9.43142e-003	0.999956	0.	4.41771	0.540389	6.79708	1	
1.90892	58.933	83	0	2	14	12	2	7	2.85522	1.63081	12.9423	-2.78546	0.717364	0.	1.07647e-002	0.999942	0.	1.07647e-002	0.999942	0.	4.58373	0.616784	6.79708	1	
1.92593	58.7918	84	0	2	14	12	2	7	2.85274	1.55024	13.6491	-2.78179	0.747597	0.	1.21708e-002	0.999926	0.	1.21708e-002	0.999926	0.	4.83406	0.697352	6.79708	1	
1.94192	62.5173	85	0	2	14	12	2	7	2.85003	1.4655	14.3559	-2.7779	0.77776	0.	1.36496e-002	0.999907	0.	1.36496e-002	0.999907	0.	5.08438	0.782091	6.79708	1	
1.95798	62.287	86	0	2	14	12	2	7	2.84711	1.37661	15.0591	-2.7738	0.807853	0.	1.52009e-002	0.999884	0.	1.52009e-002	0.999884	0.	5.33341	0.870982	6.79708	1	
1.97492	59.0233	87	0	2	14	12	2	7	2.84403	1.28494	15.5315	-2.76953	0.837897	0.	1.68008e-002	0.999859	0.	1.68008e-002	0.999859	0.	5.50073	0.962661	6.79708	1	
1.99192	58.8284	88	0	2	14	12	2	7	2.84072	1.18908	16.2383	-2.76504	0.867868	0.	1.84735e-002	0.999829	0.	1.84735e-002	0.999829	0.	5.75106	1.05851	6.79708	1	
2.00792	62.4949	89	0	2	14	12	2	8	2.83719	1.47007	16.9414	-2.76034	0.897767	0.	2.02185e-002	0.999796	0.	2.02185e-002	0.999796	0.	6.00009	1.15851	6.79708	1	
2.02492	58.8033	90	0	3	14	12	2	8	2.83747	1.36452	17.8826	-2.75535	0.92757	0.	2.20604e-002	0.999757	0.	2.20604e-002	0.999757	0.	6.33343	1.26407	6.79708	1	
2.04093	62.4678	91	0	3	14	12	2	8	2.83356	1.2534	18.8238	-2.75007	0.957276	0.	2.39992e-002	0.999712	0.	2.39992e-002	0.999712	0.	6.66677	1.37518	6.79708	1	
